UF,REGIAO,Município,Total Leitos,População,Razão Leitos/Mil,Leitos Ideais,Déficit Leitos,Percentual Cobertura,Nível Alerta,Cor Alerta
SP,BAURU,Duartina,444,12532,28.225225225225227,12.532,-431.468,15.730609639323331,VERDE (NORMAL),VERDE
SP,SOROCABA,Itaporanga,444,14245,32.083333333333336,14.245,-429.755,13.838961038961038,VERDE (NORMAL),VERDE
SP,BAURU,Gália,432,6413,14.844907407407407,6.413,-425.587,29.10088881958522,VERDE (NORMAL),VERDE
SP,BAURU,Bilac,426,7464,17.52112676056338,7.464,-418.536,24.313504823151124,VERDE (NORMAL),VERDE
SP,BAURU,Getulina,426,10337,24.26525821596244,10.337,-415.663,17.555964012769664,VERDE (NORMAL),VERDE
SP,CAMPINAS,Águas de Lindóia,432,18257,42.261574074074076,18.257,-413.743,10.222051815741906,VERDE (NORMAL),VERDE
SP,BAURU,Palmital,432,19714,45.63425925925926,19.714,-412.286,9.466571979304048,VERDE (NORMAL),VERDE
SP,SOROCABA,Itaí,432,25979,60.136574074074076,25.979,-406.021,7.183648331344547,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Itapuí,420,14035,33.416666666666664,14.035,-405.965,12.56857855361596,VERDE (NORMAL),VERDE
SP,ARACATUBA,Pirangi,414,11085,26.77536231884058,11.085,-402.915,15.461975642760487,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Cachoeira Paulista,434,32534,74.963133640553,32.534,-401.466,5.7895125099895495,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Mairiporã,492,97835,198.85162601626016,97.835,-394.165,2.4742065722900803,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,São Simão,402,13560,33.73134328358209,13.56,-388.44,11.917699115044247,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,São Bento do Sapucaí,396,11989,30.275252525252526,11.989,-384.011,13.079989990824922,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Viradouro,398,17685,44.43467336683417,17.685,-380.315,8.956969182923382,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Terra Roxa,384,7965,20.7421875,7.965,-376.035,18.512994350282487,VERDE (NORMAL),VERDE
SP,SOROCABA,Cerquilho,417,46391,111.24940047961631,46.391,-370.609,3.7483348063201913,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Pontal,408,38286,93.83823529411765,38.286,-369.714,4.347907851433944,VERDE (NORMAL),VERDE
SP,ARACATUBA,Estrela d'Oeste,378,9696,25.650793650793652,9.696,-368.304,14.736386138613861,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Cunha,390,22460,57.58974358974359,22.46,-367.54,6.772039180765805,VERDE (NORMAL),VERDE
SP,Litoral,Mongaguá,432,64845,150.10416666666666,64.845,-367.155,2.8780013879250523,VERDE (NORMAL),VERDE
SP,BAURU,Presidente Bernardes,378,14803,39.16137566137566,14.803,-363.197,9.652367763291226,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Patrocínio Paulista,376,14888,39.59574468085106,14.888,-361.112,9.495969908651263,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Charqueada,374,15814,42.283422459893046,15.814,-358.186,8.845073985076516,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Descalvado,390,32663,83.75128205128205,32.663,-357.337,4.65664513363745,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Tambaú,378,21650,57.27513227513227,21.65,-356.35,6.59972286374134,VERDE (NORMAL),VERDE
SP,ARACATUBA,Riolândia,366,10444,28.53551912568306,10.444,-355.556,12.826120260436614,VERDE (NORMAL),VERDE
SP,ARACATUBA,Ouroeste,366,10660,29.12568306010929,10.66,-355.34,12.566228893058161,VERDE (NORMAL),VERDE
SP,ARACATUBA,Buritama,372,17658,47.46774193548387,17.658,-354.342,7.836901121304791,VERDE (NORMAL),VERDE
SP,ARACATUBA,Cedral,360,13314,36.983333333333334,13.314,-346.686,9.734114465975665,VERDE (NORMAL),VERDE
SP,ARACATUBA,Castilho,366,20485,55.96994535519126,20.485,-345.515,6.5392238223090065,VERDE (NORMAL),VERDE
SP,BAURU,Agudos,384,38988,101.53125,38.988,-345.012,3.7820867959372113,VERDE (NORMAL),VERDE
SP,SOROCABA,Pilar do Sul,372,28459,76.50268817204301,28.459,-343.541,4.86257422959345,VERDE (NORMAL),VERDE
SP,ARACATUBA,Cajobi,351,9210,26.23931623931624,9.21,-341.79,13.376872964169381,VERDE (NORMAL),VERDE
SP,BAURU,Iacanga,348,10648,30.597701149425287,10.648,-337.352,11.373403456048084,VERDE (NORMAL),VERDE
SP,BAURU,Parapuã,348,10720,30.804597701149426,10.72,-337.28,11.297014925373134,VERDE (NORMAL),VERDE
SP,BAURU,Lucélia,348,20378,58.55747126436781,20.378,-327.622,5.942879576013348,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Guararema,360,32620,90.61111111111111,32.62,-327.38,3.9730226854690374,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Tabatinga,342,14997,43.85087719298246,14.997,-327.003,7.799159831966393,VERDE (NORMAL),VERDE
SP,BAURU,Salto Grande,336,9221,27.44345238095238,9.221,-326.779,12.243357553410693,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,São Sebastião da Grama,336,10428,31.035714285714285,10.428,-325.572,10.826237054085155,VERDE (NORMAL),VERDE
